name, memory.used [MiB], memory.free [MiB]
Tesla V100-SXM2-16GB, 0 MiB, 16150 MiB
Tesla V100-SXM2-16GB, 0 MiB, 16150 MiB
Tesla V100-SXM2-16GB, 0 MiB, 16150 MiB
Tesla V100-SXM2-16GB, 0 MiB, 16150 MiB
Tesla V100-SXM2-16GB, 0 MiB, 16150 MiB
Tesla V100-SXM2-16GB, 0 MiB, 16150 MiB
Tesla V100-SXM2-16GB, 0 MiB, 16150 MiB
Tesla V100-SXM2-16GB, 0 MiB, 16150 MiB
Tesla V100-SXM2-16GB, 0 MiB, 16150 MiB
Tesla V100-SXM2-16GB, 0 MiB, 16150 MiB
Tesla V100-SXM2-16GB, 431 MiB, 15719 MiB
Tesla V100-SXM2-16GB, 1023 MiB, 15127 MiB
Tesla V100-SXM2-16GB, 1023 MiB, 15127 MiB
Tesla V100-SXM2-16GB, 0 MiB, 16150 MiB
Tesla V100-SXM2-16GB, 0 MiB, 16150 MiB
Tesla V100-SXM2-16GB, 0 MiB, 16150 MiB
Tesla V100-SXM2-16GB, 0 MiB, 16150 MiB
Tesla V100-SXM2-16GB, 0 MiB, 16150 MiB
Tesla V100-SXM2-16GB, 0 MiB, 16150 MiB
Tesla V100-SXM2-16GB, 0 MiB, 16150 MiB
Tesla V100-SXM2-16GB, 0 MiB, 16150 MiB
Tesla V100-SXM2-16GB, 0 MiB, 16150 MiB
Tesla V100-SXM2-16GB, 0 MiB, 16150 MiB
Tesla V100-SXM2-16GB, 0 MiB, 16150 MiB
Tesla V100-SXM2-16GB, 0 MiB, 16150 MiB
Tesla V100-SXM2-16GB, 0 MiB, 16150 MiB
Tesla V100-SXM2-16GB, 0 MiB, 16150 MiB
Tesla V100-SXM2-16GB, 485 MiB, 15665 MiB
Tesla V100-SXM2-16GB, 1023 MiB, 15127 MiB
Tesla V100-SXM2-16GB, 1023 MiB, 15127 MiB
Tesla V100-SXM2-16GB, 1023 MiB, 15127 MiB
Tesla V100-SXM2-16GB, 1023 MiB, 15127 MiB
Tesla V100-SXM2-16GB, 1023 MiB, 15127 MiB
Tesla V100-SXM2-16GB, 1023 MiB, 15127 MiB
Tesla V100-SXM2-16GB, 1023 MiB, 15127 MiB
Tesla V100-SXM2-16GB, 1023 MiB, 15127 MiB
Tesla V100-SXM2-16GB, 1023 MiB, 15127 MiB
Tesla V100-SXM2-16GB, 1023 MiB, 15127 MiB
Tesla V100-SXM2-16GB, 1023 MiB, 15127 MiB
Tesla V100-SXM2-16GB, 1023 MiB, 15127 MiB
Tesla V100-SXM2-16GB, 1023 MiB, 15127 MiB
Tesla V100-SXM2-16GB, 1023 MiB, 15127 MiB
Tesla V100-SXM2-16GB, 1363 MiB, 14787 MiB
Tesla V100-SXM2-16GB, 5635 MiB, 10515 MiB
Tesla V100-SXM2-16GB, 6025 MiB, 10125 MiB
Tesla V100-SXM2-16GB, 6025 MiB, 10125 MiB
Tesla V100-SXM2-16GB, 6025 MiB, 10125 MiB
Tesla V100-SXM2-16GB, 6025 MiB, 10125 MiB
Tesla V100-SXM2-16GB, 6025 MiB, 10125 MiB
Tesla V100-SXM2-16GB, 6025 MiB, 10125 MiB
Tesla V100-SXM2-16GB, 6025 MiB, 10125 MiB
Tesla V100-SXM2-16GB, 6025 MiB, 10125 MiB
Tesla V100-SXM2-16GB, 6025 MiB, 10125 MiB
Tesla V100-SXM2-16GB, 6025 MiB, 10125 MiB
Tesla V100-SXM2-16GB, 6025 MiB, 10125 MiB
Tesla V100-SXM2-16GB, 6025 MiB, 10125 MiB
Tesla V100-SXM2-16GB, 6025 MiB, 10125 MiB
Tesla V100-SXM2-16GB, 6025 MiB, 10125 MiB
Tesla V100-SXM2-16GB, 6025 MiB, 10125 MiB
Tesla V100-SXM2-16GB, 6025 MiB, 10125 MiB
Tesla V100-SXM2-16GB, 6025 MiB, 10125 MiB
Tesla V100-SXM2-16GB, 6025 MiB, 10125 MiB
Tesla V100-SXM2-16GB, 6025 MiB, 10125 MiB
Tesla V100-SXM2-16GB, 6025 MiB, 10125 MiB
Tesla V100-SXM2-16GB, 6025 MiB, 10125 MiB
Tesla V100-SXM2-16GB, 6025 MiB, 10125 MiB
Tesla V100-SXM2-16GB, 6025 MiB, 10125 MiB
Tesla V100-SXM2-16GB, 6025 MiB, 10125 MiB
Tesla V100-SXM2-16GB, 6025 MiB, 10125 MiB
Tesla V100-SXM2-16GB, 6025 MiB, 10125 MiB
Tesla V100-SXM2-16GB, 6025 MiB, 10125 MiB
Tesla V100-SXM2-16GB, 6025 MiB, 10125 MiB
Tesla V100-SXM2-16GB, 6025 MiB, 10125 MiB
Tesla V100-SXM2-16GB, 6025 MiB, 10125 MiB
Tesla V100-SXM2-16GB, 6025 MiB, 10125 MiB
Tesla V100-SXM2-16GB, 6025 MiB, 10125 MiB
Tesla V100-SXM2-16GB, 6025 MiB, 10125 MiB
Tesla V100-SXM2-16GB, 6025 MiB, 10125 MiB
Tesla V100-SXM2-16GB, 6025 MiB, 10125 MiB
Tesla V100-SXM2-16GB, 6025 MiB, 10125 MiB
Tesla V100-SXM2-16GB, 6025 MiB, 10125 MiB
Tesla V100-SXM2-16GB, 6025 MiB, 10125 MiB
Tesla V100-SXM2-16GB, 6025 MiB, 10125 MiB
Tesla V100-SXM2-16GB, 6025 MiB, 10125 MiB
Tesla V100-SXM2-16GB, 6025 MiB, 10125 MiB
Tesla V100-SXM2-16GB, 6025 MiB, 10125 MiB
Tesla V100-SXM2-16GB, 6025 MiB, 10125 MiB
Tesla V100-SXM2-16GB, 6025 MiB, 10125 MiB
Tesla V100-SXM2-16GB, 6025 MiB, 10125 MiB
Tesla V100-SXM2-16GB, 6025 MiB, 10125 MiB
Tesla V100-SXM2-16GB, 6025 MiB, 10125 MiB
Tesla V100-SXM2-16GB, 6025 MiB, 10125 MiB
Tesla V100-SXM2-16GB, 6025 MiB, 10125 MiB
Tesla V100-SXM2-16GB, 6025 MiB, 10125 MiB
Tesla V100-SXM2-16GB, 6025 MiB, 10125 MiB
Tesla V100-SXM2-16GB, 6025 MiB, 10125 MiB
Tesla V100-SXM2-16GB, 6025 MiB, 10125 MiB
Tesla V100-SXM2-16GB, 6025 MiB, 10125 MiB
Tesla V100-SXM2-16GB, 6025 MiB, 10125 MiB
Tesla V100-SXM2-16GB, 6025 MiB, 10125 MiB
Tesla V100-SXM2-16GB, 6025 MiB, 10125 MiB
Tesla V100-SXM2-16GB, 6025 MiB, 10125 MiB
Tesla V100-SXM2-16GB, 6025 MiB, 10125 MiB
Tesla V100-SXM2-16GB, 6025 MiB, 10125 MiB
Tesla V100-SXM2-16GB, 6025 MiB, 10125 MiB
Tesla V100-SXM2-16GB, 6025 MiB, 10125 MiB
Tesla V100-SXM2-16GB, 6025 MiB, 10125 MiB
Tesla V100-SXM2-16GB, 6025 MiB, 10125 MiB
Tesla V100-SXM2-16GB, 6025 MiB, 10125 MiB
Tesla V100-SXM2-16GB, 6025 MiB, 10125 MiB
Tesla V100-SXM2-16GB, 6025 MiB, 10125 MiB
Tesla V100-SXM2-16GB, 6025 MiB, 10125 MiB
Tesla V100-SXM2-16GB, 6025 MiB, 10125 MiB
Tesla V100-SXM2-16GB, 6025 MiB, 10125 MiB
Tesla V100-SXM2-16GB, 6025 MiB, 10125 MiB
Tesla V100-SXM2-16GB, 6025 MiB, 10125 MiB
Tesla V100-SXM2-16GB, 6025 MiB, 10125 MiB
Tesla V100-SXM2-16GB, 6025 MiB, 10125 MiB
Tesla V100-SXM2-16GB, 6025 MiB, 10125 MiB
Tesla V100-SXM2-16GB, 6025 MiB, 10125 MiB
Tesla V100-SXM2-16GB, 6025 MiB, 10125 MiB
Tesla V100-SXM2-16GB, 6025 MiB, 10125 MiB
Tesla V100-SXM2-16GB, 6025 MiB, 10125 MiB
Tesla V100-SXM2-16GB, 6025 MiB, 10125 MiB
Tesla V100-SXM2-16GB, 6025 MiB, 10125 MiB
Tesla V100-SXM2-16GB, 6025 MiB, 10125 MiB
Tesla V100-SXM2-16GB, 6025 MiB, 10125 MiB
Tesla V100-SXM2-16GB, 6025 MiB, 10125 MiB
Tesla V100-SXM2-16GB, 6025 MiB, 10125 MiB
Tesla V100-SXM2-16GB, 6025 MiB, 10125 MiB
Tesla V100-SXM2-16GB, 6025 MiB, 10125 MiB
Tesla V100-SXM2-16GB, 6025 MiB, 10125 MiB
Tesla V100-SXM2-16GB, 6025 MiB, 10125 MiB
Tesla V100-SXM2-16GB, 6025 MiB, 10125 MiB
Tesla V100-SXM2-16GB, 6025 MiB, 10125 MiB
Tesla V100-SXM2-16GB, 6025 MiB, 10125 MiB
Tesla V100-SXM2-16GB, 6025 MiB, 10125 MiB
Tesla V100-SXM2-16GB, 6025 MiB, 10125 MiB
Tesla V100-SXM2-16GB, 6025 MiB, 10125 MiB
Tesla V100-SXM2-16GB, 6025 MiB, 10125 MiB
Tesla V100-SXM2-16GB, 6025 MiB, 10125 MiB
Tesla V100-SXM2-16GB, 6025 MiB, 10125 MiB
